Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
186;Joe Harris;SG;31;BRK;49;32;24.2;3.2;6.9;0.461;2.1;4.9;0.423;1.1;2;0.557;0.612;0.3;0.4;0.667;0.4;2.3;2.7;1.6;0.5;0.3;0.6;2.5;8.7
187;Kevon Harris;SG;25;ORL;27;0;12.4;1.2;2.9;0.416;0.4;1;0.393;0.8;1.8;0.429;0.487;0.8;1;0.815;0.9;1.1;2;0.4;0.5;0.1;0.6;1.3;3.6
188;Tobias Harris;PF;30;PHI;51;51;33.6;6.2;12.5;0.493;1.7;4.7;0.369;4.4;7.8;0.568;0.563;1.4;1.6;0.866;1;5.1;6;2.7;1;0.5;1.3;2;15.5
189;Josh Hart;SF-SG;27;TOT;52;51;33.3;3.6;7.1;0.504;0.7;2.2;0.313;2.9;4.9;0.591;0.553;1.7;2.4;0.732;1.9;6.3;8.2;3.9;1.1;0.2;1.5;2.6;9.6
189;Josh Hart;SF;27;POR;51;51;33.4;3.6;7.1;0.504;0.7;2.2;0.304;2.9;4.9;0.594;0.551;1.7;2.3;0.731;1.9;6.3;8.2;3.9;1.1;0.2;1.5;2.6;9.5
189;Josh Hart;SG;27;NYK;1;0;26;3;6;0.5;2;3;0.667;1;3;0.333;0.667;3;4;0.75;4;3;7;4;4;0;1;4;11
190;Isaiah Hartenstein;C;24;NYK;58;7;19.5;2.2;4.2;0.512;0.1;0.6;0.235;2;3.7;0.557;0.528;0.7;0.9;0.745;2.8;3.7;6.6;0.9;0.6;0.8;0.8;2.5;5.1
191;Udonis Haslem;C;42;MIA;6;1;7.7;0.2;2;0.083;0;0.3;0;0.2;1.7;0.1;0.083;0.2;0.3;0.5;0.7;0.7;1.3;0;0.2;0.2;0;1.3;0.5
192;Sam Hauser;PF;25;BOS;54;2;15;2.1;4.7;0.443;1.6;3.9;0.41;0.5;0.8;0.61;0.615;0.2;0.3;0.667;0.4;2.1;2.6;0.7;0.3;0.2;0.3;1.2;5.9
193;Jaxson Hayes;C;22;NOP;31;2;14;1.9;3.6;0.532;0.1;0.8;0.125;1.8;2.8;0.644;0.545;1.3;2;0.672;1;2.1;3.1;0.8;0.4;0.4;0.6;1.4;5.2
194;Killian Hayes;PG;21;DET;53;34;26.8;3.9;10.2;0.379;1.2;3.8;0.313;2.7;6.4;0.418;0.437;0.8;1;0.784;0.4;2.4;2.7;5.8;1.3;0.3;2;3;9.7
195;Gordon Hayward;SF;32;CHO;32;32;31.1;5;11.2;0.448;1;3.3;0.292;4.1;7.9;0.514;0.492;2.4;3;0.821;0.8;3.4;4.2;3.5;0.8;0.2;1.8;1.2;13.5
196;Juancho Hernangómez;PF;27;TOR;41;10;14.9;1.2;2.8;0.425;0.4;1.6;0.258;0.8;1.1;0.66;0.5;0.2;0.4;0.563;0.7;2.3;3;0.6;0.4;0.1;0.4;1;3
197;Willy Hernangómez;C;28;NOP;28;0;12.7;2.5;4.8;0.526;0;0.3;0.111;2.5;4.4;0.556;0.53;2.3;2.9;0.788;1.7;3.1;4.8;1;0.3;0.4;1.1;1.8;7.3
198;Tyler Herro;SG;23;MIA;45;45;35.4;7.5;17.1;0.437;3;8.1;0.369;4.5;9;0.499;0.525;2.6;2.8;0.922;0.5;5.3;5.7;4.4;0.9;0.3;2.5;1.7;20.6
199;Buddy Hield;SF;30;IND;58;58;32.1;6.2;13.7;0.453;3.8;8.9;0.428;2.4;4.7;0.502;0.593;1.3;1.5;0.862;0.9;4.1;5;2.7;1.2;0.3;1.9;2;17.5
200;Haywood Highsmith;SF;26;MIA;41;9;19.4;1.9;4.4;0.428;0.8;2.3;0.362;1;2.1;0.5;0.522;0.2;0.5;0.4;1.1;2.7;3.8;0.7;0.8;0.3;0.8;1.6;4.8
201;George Hill;PG;36;MIL;35;0;19.1;1.7;3.8;0.447;0.7;2.1;0.311;1;1.7;0.621;0.534;1;1.3;0.739;0.4;1.5;1.9;2.5;0.5;0.1;0.8;1.2;5
202;Malcolm Hill;SF;27;CHI;4;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0
203;Aaron Holiday;PG;26;ATL;49;5;14.7;1.6;3.8;0.424;0.6;1.5;0.419;1;2.2;0.427;0.508;0.5;0.6;0.857;0.4;0.9;1.3;1.3;0.6;0.2;0.6;1.4;4.3
204;Jrue Holiday;PG;32;MIL;45;43;32.9;7.3;15.8;0.46;2.3;6.2;0.368;5;9.6;0.518;0.532;2.3;2.7;0.858;1.3;3.9;5.2;7.1;1.3;0.4;3.1;2;19.1
205;Justin Holiday;SG;33;ATL;28;0;14.7;1.7;4.5;0.384;1.1;3.1;0.345;0.6;1.4;0.474;0.504;0;0;0;0.1;0.8;0.8;0.9;0.2;0.4;0.4;1.3;4.5
206;Richaun Holmes;C;29;SAC;33;1;9.1;1.4;2.1;0.681;0.1;0.1;0.75;1.3;2;0.677;0.703;0.4;0.5;0.8;0.7;1.4;2.2;0.2;0.1;0.3;0.4;1.4;3.3
207;Al Horford;C;36;BOS;43;43;30.8;3.4;7.4;0.462;2;4.8;0.417;1.4;2.6;0.545;0.597;0.2;0.3;0.714;1.2;5;6.1;2.7;0.5;0.9;0.6;1.9;9.1
208;Talen Horton-Tucker;SG;22;UTA;44;1;16.1;2.8;6.8;0.413;0.6;2.5;0.252;2.2;4.3;0.508;0.46;1.3;1.7;0.737;0.4;2;2.4;2.7;0.6;0.4;1.2;1.5;7.5
209;Danuel House Jr.;SF;29;PHI;36;2;15.1;1.5;3.3;0.466;0.7;2;0.338;0.9;1.3;0.66;0.568;0.8;1.1;0.7;0.2;1.6;1.8;0.7;0.2;0.2;0.4;1.2;4.5
210;Caleb Houstan;SF;20;ORL;32;2;16.4;1.4;3.5;0.407;1;2.5;0.383;0.5;1;0.469;0.544;0.3;0.4;0.846;0.8;1.5;2.3;0.6;0.2;0.1;0.4;1.4;4.2
211;Trevor Hudgins;PG;23;HOU;2;0;5;0.5;0.5;1;0.5;0.5;1;0;0;0;1.5;1.5;1.5;1;0;0;0;1.5;0;0;0;0;3
212;Kevin Huerter;SG;24;SAC;53;53;30.4;5.4;11.4;0.478;2.6;6.7;0.39;2.8;4.7;0.603;0.593;1.4;1.9;0.713;0.6;2.8;3.4;2.9;1.1;0.3;1.4;2.5;14.8
213;De'Andre Hunter;SF;25;ATL;47;47;32;5.6;12.3;0.456;1.6;4.4;0.361;4;7.9;0.509;0.521;2.9;3.5;0.83;0.6;3.7;4.3;1.4;0.6;0.2;1.3;3;15.7
214;Bones Hyland;PG;22;DEN;42;1;19.5;4.1;10.3;0.399;2.2;5.7;0.378;2;4.6;0.425;0.503;1.7;2;0.866;0.2;1.8;2;3;0.7;0.3;1.6;1.6;12.1
215;Serge Ibaka;C;33;MIL;16;0;11.6;1.6;3.4;0.481;0.4;1.1;0.333;1.3;2.3;0.556;0.537;0.5;0.8;0.615;0.9;1.8;2.8;0.3;0.1;0.4;0.7;1.4;4.1
216;Andre Iguodala;SF;39;GSW;3;0;14;1;1.3;0.75;0.3;0.7;0.5;0.7;0.7;1;0.875;0;0;0;0.3;2;2.3;1.7;0.3;0.3;1.7;1.7;2.3
217;Joe Ingles;SF;35;MIL;23;0;22.2;2.1;5.4;0.384;1.5;4.3;0.354;0.6;1.1;0.5;0.524;0.5;0.6;0.846;0.3;2.3;2.6;3.3;0.5;0.1;1.3;1.5;6.2
218;Brandon Ingram;SF;25;NOP;22;22;32;7.7;16.8;0.461;1.5;3.8;0.398;6.2;13;0.479;0.505;4.8;5.5;0.876;0.5;4.6;5;5.2;0.8;0.5;3.2;2.4;21.8
219;Kyrie Irving;PG;30;TOT;43;43;37;9.8;20.3;0.486;3.3;8.7;0.377;6.6;11.6;0.567;0.567;4;4.5;0.892;1;4.1;5.1;5.4;1;0.8;2.3;2.8;27
219;Kyrie Irving;PG;30;BRK;40;40;37;10;20.5;0.486;3.3;8.7;0.374;6.7;11.8;0.569;0.565;4;4.5;0.883;1;4.2;5.1;5.3;1;0.8;2.3;2.7;27.1
219;Kyrie Irving;PG;30;DAL;3;3;38;8.3;17.3;0.481;3.7;8.7;0.423;4.7;8.7;0.538;0.587;5.3;5.3;1;1.3;3.3;4.7;7.3;1;0.7;2.7;3.3;25.7
220;Jonathan Isaac;PF;25;ORL;9;0;10.6;2;4.8;0.419;0.4;1.3;0.333;1.6;3.4;0.452;0.465;0.6;1;0.556;1.3;2.3;3.7;0.6;1.2;0.3;0.1;0.3;5
221;Jaden Ivey;SG;20;DET;53;52;30.2;5.1;12.3;0.416;1.4;4.2;0.327;3.8;8.2;0.461;0.471;3.5;4.8;0.728;1;3;4;4.6;0.9;0.2;2.8;3.1;15.2
222;Isaiah Jackson;C;21;IND;43;5;15.3;2.7;4.7;0.569;0;0.3;0.182;2.6;4.4;0.592;0.574;1.5;2.2;0.656;1.4;2.5;3.9;0.9;0.4;1.4;0.9;2.2;6.9
223;Jaren Jackson Jr.;C;23;MEM;38;38;27.3;6;11.9;0.502;1.5;4.3;0.346;4.5;7.7;0.589;0.564;3.3;4.2;0.775;1.7;4.9;6.6;0.8;1;3.3;1.6;3.3;16.7
224;Justin Jackson;SF;27;BOS;23;0;4.7;0.3;1.2;0.259;0.2;0.9;0.25;0.1;0.3;0.286;0.352;0;0.1;0.5;0.1;0.7;0.7;0.4;0.2;0.2;0.1;0.3;0.9
225;Quenton Jackson;PG;24;WAS;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
226;Reggie Jackson;PG;32;LAC;52;38;25.7;4.1;9.8;0.418;1.5;4.2;0.35;2.6;5.6;0.469;0.493;1.2;1.3;0.924;0.4;1.8;2.2;3.5;0.7;0.1;1.8;1.8;10.9
227;LeBron James;PF;38;LAL;44;44;36.4;11.6;22.8;0.508;2.2;7;0.315;9.4;15.8;0.593;0.556;4.8;6.3;0.764;1.2;7.3;8.5;7;1;0.5;3.1;1.6;30.2
228;Ty Jerome;SG;25;GSW;34;2;17.9;2.7;5.4;0.503;0.8;2.1;0.4;1.9;3.3;0.566;0.579;0.8;0.9;0.931;0.1;1.5;1.6;2.8;0.5;0.1;0.6;1.5;7
229;Isaiah Joe;SG;23;OKC;47;2;15.6;2.7;5.6;0.472;2.1;4.6;0.458;0.6;1;0.531;0.658;0.8;1;0.822;0.3;1.9;2.2;1.1;0.6;0.1;0.4;1.4;8.2
230;Alize Johnson;PF;26;SAS;4;0;7.5;0.8;1.5;0.5;0;0.5;0;0.8;1;0.75;0.5;0.3;0.5;0.5;0.5;2;2.5;0.3;0.3;0;1;0.8;1.8
231;Cameron Johnson;PF;26;TOT;18;17;25.4;4.8;10.3;0.462;2.6;5.9;0.439;2.2;4.4;0.494;0.589;1.6;2;0.806;0.8;3.2;4;1.6;1;0.3;0.6;1.7;13.8
231;Cameron Johnson;PF;26;PHO;17;16;25.2;4.8;10.2;0.474;2.6;5.8;0.455;2.2;4.4;0.5;0.604;1.6;1.9;0.818;0.8;3;3.8;1.5;0.9;0.4;0.6;1.7;13.9
231;Cameron Johnson;PF;26;BRK;1;1;28;4;13;0.308;2;8;0.25;2;5;0.4;0.385;2;3;0.667;0;7;7;3;3;0;0;1;12
232;Jalen Johnson;SF;21;ATL;53;6;14.6;2;4.3;0.476;0.4;1.5;0.282;1.6;2.8;0.577;0.524;0.8;1.2;0.656;0.8;3.2;4;0.9;0.5;0.4;0.5;1.5;5.2
233;James Johnson;PF;35;IND;12;1;8.2;0.8;2.3;0.37;0.3;0.8;0.3;0.6;1.4;0.412;0.426;0.3;0.3;0.75;0.2;1.2;1.3;0.6;0.3;0.4;0.4;2;2.2
234;Keldon Johnson;SF;23;SAS;50;50;32.5;7.8;17.5;0.445;2.2;6.7;0.328;5.6;10.8;0.518;0.508;4;5.2;0.78;0.8;3.9;4.7;2.6;0.7;0.2;2.1;1.9;21.8
235;Keon Johnson;SG;20;POR;26;0;10.2;1.6;4.3;0.372;0.7;2.1;0.352;0.9;2.3;0.39;0.456;0.3;0.7;0.529;0.3;1;1.3;0.9;0.5;0.2;1;1.1;4.3
236;Stanley Johnson;SF;26;SAS;30;0;15.6;2.2;4.1;0.533;0.6;1.3;0.45;1.6;2.7;0.573;0.607;0.9;1.3;0.667;0.7;2.4;3.2;2.2;0.5;0.2;1.1;1.6;5.8
237;Nikola Joki?;C;27;DEN;49;49;33.6;9.4;15;0.628;0.9;2.2;0.391;8.6;12.8;0.669;0.657;5.2;6.3;0.821;2.1;9.3;11.4;10.1;1.3;0.7;3.6;2.6;24.9
238;Carlik Jones;PG;25;CHI;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2
239;Damian Jones;C;27;LAL;22;1;8;0.9;1.7;0.541;0;0.1;0;0.9;1.5;0.588;0.541;0.7;0.9;0.75;0.8;1.7;2.5;0.2;0.1;0.5;0.4;0.8;2.5
240;Derrick Jones Jr.;SF;25;CHI;45;0;15.3;2;3.8;0.509;0.4;1.2;0.333;1.6;2.6;0.588;0.561;1.2;1.5;0.803;1;1.6;2.7;0.6;0.4;0.7;0.4;1.5;5.5
241;Herbert Jones;SF;24;NOP;41;41;28.9;3.4;7.8;0.438;0.8;2.7;0.284;2.7;5.1;0.517;0.486;2.2;2.9;0.748;1.3;2.5;3.8;2.1;1.7;0.7;1.3;3.3;9.8
242;Kai Jones;C;22;CHO;27;0;8.8;1.1;2.2;0.525;0.1;0.4;0.273;1;1.8;0.583;0.551;0.3;0.4;0.667;0.7;1.2;1.9;0.2;0.2;0.4;0.3;1.1;2.7
243;Tre Jones;PG;23;SAS;52;52;29.3;4.9;11.3;0.436;0.7;2.5;0.265;4.3;8.8;0.486;0.466;2.2;2.5;0.891;0.8;2.8;3.6;6.3;1.3;0.2;1.8;1.4;12.8
244;Tyus Jones;PG;26;MEM;55;9;23.5;3.8;8.7;0.433;1.5;3.9;0.379;2.3;4.8;0.477;0.518;1.1;1.3;0.806;0.4;1.9;2.3;4.6;1.1;0.1;1;0.4;10.1
245;DeAndre Jordan;C;34;DEN;34;5;14.6;2.2;2.8;0.771;0;0;1;2.1;2.8;0.768;0.776;0.5;1.2;0.439;1.2;3.7;4.9;0.9;0.2;0.6;1.2;1.9;4.9
246;Cory Joseph;PG;31;DET;38;2;15.8;1.7;4.3;0.387;0.6;1.9;0.315;1.1;2.4;0.444;0.457;0.7;1;0.757;0.3;1.1;1.3;3.3;0.4;0.1;0.7;1.4;4.7
247;Nikola Jovi?;PF;19;MIA;15;8;13.6;1.9;4.6;0.406;0.5;2.3;0.229;1.3;2.3;0.588;0.464;1.2;1.3;0.947;0.6;1.5;2.1;0.7;0.5;0.1;0.7;1.3;5.5
248;Mfiondu Kabengele;PF;25;BOS;2;0;7;0.5;1;0.5;0;0.5;0;0.5;0.5;1;0.5;0;0;0;1.5;1;2.5;0;0;0;0.5;1.5;1
249;Frank Kaminsky;C;29;TOT;27;0;6.5;0.9;1.6;0.568;0.4;0.9;0.478;0.5;0.8;0.667;0.693;0.4;0.4;0.833;0.1;1.2;1.3;0.8;0.2;0;0.3;0.8;2.6
249;Frank Kaminsky;C;29;ATL;26;0;6.8;1;1.7;0.568;0.4;0.9;0.478;0.5;0.8;0.667;0.693;0.4;0.5;0.833;0.1;1.3;1.4;0.8;0.2;0;0.3;0.8;2.7
249;Frank Kaminsky;C;29;HOU;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;Trevor Keels;SG;19;NYK;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
251;Luke Kennard;SG;26;LAC;35;11;20.7;2.8;6;0.464;1.7;3.8;0.447;1.1;2.3;0.494;0.604;0.5;0.6;0.95;0.2;2.2;2.4;1.1;0.5;0.1;0.9;1.3;7.8
252;Walker Kessler;C;21;UTA;55;21;21.1;3.6;5;0.715;0;0;0;3.6;5;0.715;0.715;1.1;2;0.541;2.9;4.7;7.6;0.8;0.4;2;0.7;2.2;8.2
253;Braxton Key;SF;25;DET;3;0;3;0.3;0.3;1;0;0;0;0.3;0.3;1;1;0.7;0.7;1;0;0.3;0.3;0;0;0;0;0;1.3
254;Corey Kispert;SF;23;WAS;47;31;27.4;3.3;7;0.474;1.9;4.5;0.413;1.4;2.5;0.586;0.608;1.1;1.2;0.862;0.4;2.3;2.7;1.3;0.6;0.1;0.8;1.3;9.6
255;Maxi Kleber;C;31;DAL;22;0;25.6;2.3;4.7;0.49;1.1;3;0.369;1.2;1.8;0.692;0.606;0.5;0.6;0.786;0.9;2.7;3.5;1;0.3;1;0.6;2.2;6.2
256;Nathan Knight;PF;25;MIN;33;0;8.1;1.3;2.2;0.568;0.2;0.6;0.381;1;1.6;0.642;0.622;1.1;1.5;0.686;0.6;0.9;1.5;0.4;0.3;0.2;0.5;1.1;3.8
257;Kevin Knox;PF;23;DET;42;1;14.1;2;4.3;0.469;1;2.8;0.371;1;1.5;0.651;0.589;0.6;0.8;0.788;0.5;2.1;2.6;0.4;0.3;0.3;0.8;1.8;5.6
258;Christian Koloko;C;22;TOR;45;19;14.6;1.4;2.8;0.488;0;0.2;0.111;1.3;2.6;0.517;0.492;0.8;1.2;0.66;1.6;1.7;3.2;0.5;0.3;1.1;0.4;2.4;3.5
259;John Konchar;SG;26;MEM;47;22;23;2.2;5.2;0.43;1;2.9;0.36;1.2;2.3;0.519;0.531;0.4;0.5;0.87;0.9;3.9;4.8;1.5;1.1;0.3;0.6;1.5;5.9
260;Furkan Korkmaz;SG;25;PHI;25;0;10.2;1.3;3.1;0.41;0.5;1.4;0.343;0.8;1.7;0.465;0.487;0.8;1.2;0.655;0.2;0.9;1.2;0.7;0.2;0.1;0.6;0.4;3.8
261;Luke Kornet;C;27;BOS;48;0;12;1.7;2.4;0.704;0.1;0.2;0.333;1.6;2.2;0.736;0.717;0.6;0.7;0.844;1.3;1.7;3;0.7;0.2;0.8;0.4;1.4;4
262;Vit Krejci;PG;22;ATL;20;0;5.9;0.5;1.4;0.37;0.3;0.9;0.278;0.3;0.5;0.556;0.463;0.1;0.1;0.5;0.1;0.6;0.7;0.6;0.2;0.1;0.2;0.6;1.3
263;Jonathan Kuminga;PF;20;GSW;44;8;19.3;3.2;6.5;0.497;0.7;2;0.322;2.6;4.5;0.577;0.547;1.2;1.8;0.642;0.9;2.2;3.1;1.8;0.5;0.5;1.4;2.3;8.3
264;Kyle Kuzma;PF;27;WAS;51;51;34.9;8.1;17.8;0.453;2.5;7.5;0.332;5.6;10.3;0.541;0.523;2.7;3.7;0.716;0.9;6.6;7.6;4;0.5;0.5;2.9;2.4;21.3
265;Anthony Lamb;SF;25;GSW;42;3;19.3;2.6;5.1;0.505;1.4;3.4;0.401;1.2;1.8;0.703;0.637;0.6;0.9;0.75;0.8;2.5;3.3;1.7;0.5;0.3;1;2.3;7.2
266;Jock Landale;C;27;PHO;49;3;14.4;2.6;5;0.52;0.3;1.5;0.233;2.2;3.5;0.643;0.555;1.3;1.6;0.775;1.7;2.4;4.1;0.9;0.3;0.5;1;1.8;6.8
267;Romeo Langford;SG;23;SAS;32;19;20.2;3.1;6.4;0.49;0.4;1.4;0.283;2.7;4.9;0.551;0.522;0.8;1.2;0.649;1.4;1.4;2.9;1.3;0.5;0.3;0.7;1.7;7.4
268;Jake LaRavia;PF;21;MEM;30;0;12.7;1.1;2.9;0.395;0.7;2.1;0.339;0.4;0.8;0.542;0.517;0.2;0.3;0.778;0.5;1.4;2;0.7;0.4;0.1;0.6;1.6;3.2
269;Zach LaVine;SG;27;CHI;52;52;35.9;8.3;17.8;0.469;2.8;7.5;0.374;5.5;10.3;0.538;0.548;4.4;5.3;0.827;0.5;4.2;4.7;4;1;0.2;2.7;2.3;23.8
270;A.J. Lawson;SG;22;TOT;12;0;4.2;0.8;1.7;0.45;0.4;1.1;0.385;0.3;0.6;0.571;0.575;0.1;0.3;0.333;0.1;0.6;0.7;0.1;0;0;0.1;0.6;2
270;A.J. Lawson;SG;22;MIN;1;0;2;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;2
270;A.J. Lawson;SG;22;DAL;11;0;4.4;0.7;1.7;0.421;0.5;1.2;0.385;0.3;0.5;0.5;0.553;0.1;0.3;0.333;0.1;0.5;0.6;0.1;0;0;0.1;0.5;2
271;Damion Lee;SG;30;PHO;58;5;22.3;2.9;6.6;0.437;1.7;3.8;0.445;1.2;2.8;0.427;0.564;1.5;1.6;0.904;0.5;2.8;3.3;1.5;0.4;0.1;1.2;1.6;8.9
272;Saben Lee;PG;23;TOT;18;0;15.6;1.8;4.2;0.421;0.4;1;0.389;1.4;3.2;0.431;0.467;1.8;2.4;0.75;0.6;1.3;1.9;2.9;0.8;0.1;1.2;1.4;5.8
272;Saben Lee;PG;23;PHI;2;0;5;1.5;2;0.75;0;0.5;0;1.5;1.5;1;0.75;0;0;0;0;0;0;1;0.5;0;1.5;0.5;3
272;Saben Lee;PG;23;PHO;16;0;16.9;1.8;4.5;0.403;0.4;1.1;0.412;1.4;3.4;0.4;0.451;2.1;2.8;0.75;0.6;1.5;2.1;3.2;0.8;0.1;1.2;1.5;6.1
273;Alex Len;C;29;SAC;13;1;3.5;0.4;0.8;0.5;0;0.1;0;0.4;0.7;0.556;0.5;0.2;0.3;0.75;0.3;0.8;1.2;0.4;0;0;0.3;0.7;1
274;Kawhi Leonard;SF;31;LAC;32;30;32.3;8;16.1;0.498;1.6;4.3;0.368;6.5;11.9;0.545;0.547;4.3;5;0.863;1.3;4.8;6.1;4;1.4;0.5;1.5;1.5;22
275;Caris LeVert;SG;28;CLE;53;26;30.7;4.4;10.7;0.408;1.6;4.4;0.366;2.8;6.3;0.438;0.483;1.9;2.7;0.716;0.7;3.3;4;3.9;0.8;0.2;1.6;2.3;12.3
276;Kira Lewis Jr.;PG;21;NOP;12;0;11;2.2;4.3;0.5;0.6;1.4;0.412;1.6;2.9;0.543;0.567;0.8;0.8;1;0.3;1.7;1.9;1;0.2;0.1;0.6;1.3;5.7
277;Damian Lillard;PG;32;POR;44;44;36.2;9.3;20;0.465;4;11;0.369;5.2;9;0.581;0.566;8.5;9.2;0.919;0.6;3.5;4.1;7.3;0.8;0.3;3.1;2;31
278;Nassir Little;SF;22;POR;35;1;16.4;2.2;4.6;0.475;1;2.5;0.407;1.2;2.2;0.553;0.583;0.5;0.9;0.633;0.5;1.9;2.4;0.8;0.3;0.3;0.6;1;5.9
279;Isaiah Livers;PF;24;DET;35;9;20.9;1.9;4.6;0.407;1.3;3.6;0.368;0.6;1.1;0.541;0.549;0.6;0.8;0.786;0.5;1.9;2.4;0.6;0.5;0.5;0.6;1.9;5.7
280;Kenneth Lofton Jr.;PF;20;MEM;8;0;3.9;0.9;2.3;0.389;0;0.4;0;0.9;1.9;0.467;0.389;0.4;0.6;0.6;0.1;0.5;0.6;0.5;0;0;0.3;0.6;2.1
281;Kevon Looney;C;26;GSW;56;50;23.1;2.8;4.3;0.649;0;0;0;2.8;4.3;0.649;0.649;1.1;1.8;0.614;2.9;5.7;8.6;2.6;0.6;0.6;0.5;2.8;6.6
282;Brook Lopez;C;34;MIL;55;55;30.4;5.5;10.9;0.503;1.8;4.9;0.375;3.7;6;0.607;0.588;1.6;2;0.775;2;4.6;6.6;1.2;0.5;2.5;1.3;2.5;14.4
283;Robin Lopez;C;34;CLE;30;1;7.9;1.2;1.9;0.643;0.1;0.1;0.667;1.1;1.8;0.642;0.661;0.4;0.5;0.75;0.6;0.7;1.3;0.4;0;0.1;0.7;1.1;2.9
284;Kevin Love;PF;34;CLE;41;3;20;2.7;7;0.389;1.7;4.8;0.354;1;2.2;0.467;0.511;1.4;1.5;0.889;1;5.8;6.8;1.9;0.2;0.2;1.1;1.6;8.5
285;Kyle Lowry;PG;36;MIA;44;44;33.3;3.8;9.7;0.396;2;6.1;0.333;1.8;3.6;0.503;0.501;2.3;2.7;0.855;0.9;3.5;4.3;5.3;1.1;0.4;2;2.8;12
286;Trey Lyles;PF;27;SAC;50;0;15.9;2.5;5.2;0.477;1.1;3;0.369;1.4;2.2;0.624;0.583;1.3;1.5;0.818;0.9;2.7;3.5;0.8;0.3;0.5;0.8;1.2;7.3
287;Théo Maledon;PG;21;CHO;36;1;16.1;1.8;4.4;0.414;0.6;1.8;0.333;1.2;2.6;0.468;0.481;1.4;1.6;0.875;0.3;2.1;2.4;2.4;0.8;0.2;1;1;5.6
288;Sandro Mamukelashvili;C;23;MIL;23;0;8.6;0.8;2.3;0.352;0.3;1.2;0.25;0.5;1.1;0.462;0.417;0.4;0.7;0.625;0.7;1.5;2.2;0.7;0.1;0.1;0.4;0.7;2.4
289;Terance Mann;SG;26;LAC;58;33;23.3;3.4;6.6;0.509;0.9;2.4;0.376;2.5;4.2;0.586;0.578;1.1;1.4;0.774;0.9;2.8;3.7;2.1;0.5;0.3;0.9;1.8;8.8
290;Tre Mann;PG;21;OKC;50;4;18.6;3.1;8;0.394;1.3;4.2;0.31;1.8;3.8;0.489;0.476;0.5;0.7;0.694;0.4;1.9;2.3;1.6;0.7;0.2;1;1.6;8.1
291;Boban Marjanovi?;C;34;HOU;17;0;4.2;1.1;1.6;0.667;0;0.1;0;1.1;1.5;0.692;0.667;0.6;0.8;0.786;0.5;1.1;1.5;0.2;0.1;0.1;0.2;0.1;2.8
292;Lauri Markkanen;SF;25;UTA;53;53;34.2;8.4;16.3;0.513;3.1;7.3;0.416;5.3;9;0.591;0.606;5;5.7;0.874;1.8;6.7;8.5;1.8;0.6;0.6;1.8;2.1;24.8
293;Naji Marshall;SF;25;NOP;52;19;25.1;3.5;8.2;0.427;1;3.2;0.317;2.5;4.9;0.498;0.489;1.9;2.5;0.771;0.7;3;3.7;2.5;0.8;0.2;1.3;1.5;9.9
294;Caleb Martin;PF;27;MIA;47;47;30.3;3.8;8.4;0.45;1.4;3.7;0.366;2.4;4.6;0.518;0.532;1.2;1.5;0.786;1.4;3.8;5.2;1.7;1;0.4;1.1;2.2;10.1
295;Cody Martin;SF;27;CHO;7;0;19.1;2;5.1;0.389;0.4;2;0.214;1.6;3.1;0.5;0.431;0.6;1;0.571;1.1;2.3;3.4;1.6;0.6;0.1;0.3;1.9;5
296;Kenyon Martin Jr.;SF;22;HOU;56;23;26.2;4.6;8.1;0.568;0.9;2.7;0.336;3.7;5.4;0.684;0.624;1.5;2.4;0.639;1.5;4.1;5.5;1.5;0.4;0.4;1.2;1.8;11.7
297;Tyrese Martin;SG;23;ATL;13;0;3.5;0.5;1.2;0.375;0.1;0.4;0.2;0.4;0.8;0.455;0.406;0.2;0.2;1;0.2;0.3;0.5;0;0.1;0;0.1;0.2;1.2
298;Garrison Mathews;SG;26;HOU;45;0;13.4;1.3;3.8;0.353;1.2;3.4;0.342;0.2;0.3;0.467;0.509;0.9;1;0.911;0.2;1.2;1.4;0.5;0.5;0.1;0.4;1.2;4.8
299;Bennedict Mathurin;SF;20;IND;58;6;28.2;5.4;12.8;0.424;1.4;4.4;0.316;4;8.4;0.48;0.478;5;6;0.829;1.1;3;4.1;1.4;0.6;0.1;1.8;2.1;17.2
300;Wesley Matthews;SG;36;MIL;37;0;15.6;1;3.1;0.333;0.8;2.5;0.33;0.2;0.6;0.348;0.465;0.4;0.5;0.833;0.8;1.4;2.2;0.5;0.5;0.3;0.4;1.4;3.3
301;Tyrese Maxey;SG;22;PHI;36;22;32.8;7.1;15.7;0.45;2.3;5.9;0.388;4.8;9.8;0.487;0.523;3.3;4.1;0.803;0.4;2.4;2.8;3.6;0.8;0.1;1.5;2.1;19.7
