Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
98;Torrey Craig;SF;32;PHO;55;45;25.8;3.1;6.6;0.46;1.3;3.3;0.394;1.8;3.4;0.524;0.558;0.5;0.7;0.73;2.1;3.7;5.8;1.6;0.7;0.6;1;2.3;7.9
99;Jarrett Culver;SG;23;ATL;10;1;13.7;1.7;4.3;0.395;0.1;1.2;0.083;1.6;3.1;0.516;0.407;0.9;1.3;0.692;1;2.8;3.8;0.6;0.6;0.2;0.7;1.4;4.4
100;Cade Cunningham;PG;21;DET;12;12;33.3;7.8;18.7;0.415;1.4;5.1;0.279;6.3;13.6;0.466;0.453;3;3.6;0.837;1;5.2;6.2;6;0.8;0.6;3.3;2.8;19.9
101;Seth Curry;SG;32;BRK;39;6;23.2;3.9;8.5;0.464;1.9;4.5;0.425;2;4;0.506;0.576;0.9;0.9;0.971;0.3;1.7;2;2.1;0.7;0.2;1.1;1.9;10.6
102;Stephen Curry;PG;34;GSW;38;38;34.6;9.8;19.8;0.495;4.9;11.4;0.427;4.9;8.4;0.588;0.619;5;5.4;0.922;0.6;5.8;6.3;6.4;1;0.4;3.2;2.2;29.4
103;Dyson Daniels;PG;19;NOP;39;11;19.9;1.8;4;0.445;0.5;1.5;0.333;1.3;2.4;0.516;0.51;0.5;0.7;0.621;0.7;2.8;3.5;2.5;0.9;0.3;1.1;1.9;4.5
104;Anthony Davis;C;29;LAL;33;31;33.5;9.8;17.5;0.56;0.4;1.5;0.265;9.4;16;0.587;0.571;6.2;7.5;0.826;3.3;8.8;12.2;2.5;1.2;2;2.2;2.8;26.2
105;Johnny Davis;SG;20;WAS;12;0;5;0.4;1.4;0.294;0;0.3;0;0.4;1.2;0.357;0.294;0.3;0.3;1;0.1;0.6;0.7;0.2;0.1;0.1;0.2;1.1;1.1
106;Terence Davis;SG;25;SAC;43;4;13.6;2.5;5.8;0.438;1.3;3.7;0.354;1.2;2;0.591;0.552;0.6;0.7;0.9;0.4;2;2.4;1.3;0.8;0.3;0.8;1.8;7
107;JD Davison;PG;20;BOS;5;0;2.4;0.2;1;0.2;0;0.4;0;0.2;0.6;0.333;0.2;0;0;0;0;0.4;0.4;0.2;0.2;0;0.2;0;0.4
